Player,Age,Pos,Tm,G,MP,FG,FGA,FGp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,BLK,PTS,PTS_per_game,Salary,TRB_per_game,ORB_per_game,BLK_per_game
DeMarcus Cousins,28,C,GSW,30,771,178,371,0.4797843665768194,152,276,0.5507246376811594,106,144,0.7361111111111112,43,204,247,44,488,16.266666666666666,5337000,8.233333333333333,1.4333333333333333,1.4666666666666666
Derrick Favors,27,C,UTA,76,1766,363,619,0.5864297253634895,346,541,0.6395563770794824,154,228,0.6754385964912281,207,353,560,106,897,11.802631578947368,16900000,7.368421052631579,2.723684210526316,1.394736842105263
Dewayne Dedmon,29,C,ATL,64,1609,259,526,0.4923954372623574,176,309,0.56957928802589,92,113,0.8141592920353983,105,375,480,71,693,10.828125,6300000,7.5,1.640625,1.109375
Deyonta Davis,22,C,ATL,9,118,15,22,0.6818181818181818,15,21,0.7142857142857143,6,10,0.6,10,26,36,5,36,4,1741503,4,1.1111111111111112,0.5555555555555556
Domantas Sabonis,22,C,IND,74,1838,413,700,0.59,404,683,0.5915080527086384,208,291,0.7147766323024055,186,504,690,30,1043,14.094594594594595,2659800,9.324324324324325,2.5135135135135136,0.40540540540540543
Dwight Powell,27,C,DAL,77,1662,290,486,0.5967078189300411,251,359,0.6991643454038997,196,254,0.7716535433070866,140,271,411,50,815,10.584415584415584,9631250,5.337662337662338,1.8181818181818181,0.6493506493506493
Ed Davis,29,C,BRK,81,1446,186,302,0.6158940397350994,186,300,0.62,100,162,0.6172839506172839,216,478,694,33,472,5.827160493827161,4449000,8.567901234567902,2.6666666666666665,0.4074074074074074
Frank Kaminsky,25,C,CHO,47,755,138,298,0.46308724832214765,88,159,0.5534591194968553,79,107,0.7383177570093458,39,124,163,12,405,8.617021276595745,3627842,3.4680851063829787,0.8297872340425532,0.2553191489361702
Gorgui Dieng,29,C,MIN,76,1031,189,377,0.5013262599469496,170,321,0.5295950155763239,88,106,0.8301886792452831,81,230,311,41,485,6.381578947368421,15170787,4.092105263157895,1.0657894736842106,0.5394736842105263
Hassan Whiteside,29,C,MIA,72,1674,388,680,0.5705882352941176,386,664,0.5813253012048193,109,243,0.448559670781893,257,560,817,136,887,12.319444444444445,24434262,11.347222222222221,3.5694444444444446,1.8888888888888888
Ian Mahinmi,32,C,WAS,34,498,47,104,0.4519230769230769,44,88,0.5,42,61,0.6885245901639344,48,80,128,16,139,4.088235294117647,16000000,3.764705882352941,1.411764705882353,0.47058823529411764
Jahlil Okafor,23,C,NOP,59,935,212,362,0.585635359116022,211,357,0.5910364145658263,59,89,0.6629213483146067,82,196,278,40,484,8.203389830508474,1567007,4.711864406779661,1.3898305084745763,0.6779661016949152
Jarrett Allen,20,C,BRK,80,2096,335,568,0.5897887323943662,329,523,0.6290630975143403,197,278,0.7086330935251799,191,481,672,120,873,10.9125,2034120,8.4,2.3875,1.5
JaVale McGee,31,C,LAL,75,1671,400,641,0.62402496099844,399,629,0.6343402225755167,96,152,0.631578947368421,195,371,566,148,897,11.96,2393887,7.546666666666667,2.6,1.9733333333333334
Joakim Noah,33,C,MEM,42,693,110,213,0.5164319248826291,110,212,0.5188679245283019,78,109,0.7155963302752294,58,180,238,31,298,7.095238095238095,20261172,5.666666666666667,1.380952380952381,0.7380952380952381
Joel Embiid,24,C,PHI,64,2154,580,1199,0.4837364470391993,501,936,0.5352564102564102,522,649,0.8043143297380585,160,711,871,122,1761,27.515625,25467250,13.609375,2.5,1.90625
