Player,Age,Pos,Tm,G,GS,MP,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,PTS_per_game,PTS_per_min,ASTTOVR,Salary
Kevin Huerter,20,SG,ATL,75,59,2048,275,657,0.4185692541856925,136,353,0.38526912181303113,139,304,0.45723684210526316,41,56,0.7321428571428571,60,185,245,214,65,25,109,155,727,0.0852359208523592,9.693333333333333,0.35498046875,1.963302752293578,2250960
Kevin Knox,19,PF,NYK,75,57,2158,338,914,0.36980306345733044,125,364,0.3434065934065934,213,550,0.38727272727272727,162,226,0.7168141592920354,61,274,335,82,43,24,114,175,963,0.24726477024070023,12.84,0.4462465245597776,0.7192982456140351,3744840
Kevin Love,30,PF,CLE,22,21,598,109,283,0.38515901060070673,53,147,0.36054421768707484,56,136,0.4117647058823529,103,114,0.9035087719298246,33,206,239,48,6,5,42,54,374,0.4028268551236749,17,0.6254180602006689,1.1428571428571428,24119025
Kevon Looney,22,C,GSW,80,24,1481,217,347,0.6253602305475504,1,10,0.1,216,337,0.6409495548961425,65,105,0.6190476190476191,194,223,417,123,46,53,51,211,500,0.3025936599423631,6.25,0.337609723160027,2.411764705882353,1567007
Khem Birch,26,C,ORL,50,1,643,91,151,0.6026490066225165,0,1,0,91,150,0.6066666666666667,58,83,0.6987951807228916,79,111,190,38,18,29,20,72,240,0.5496688741721855,4.8,0.37325038880248834,1.9,1378242
Khris Middleton,27,SF,MIL,77,77,2393,506,1148,0.44076655052264807,179,474,0.37763713080168776,327,674,0.48516320474777447,216,258,0.8372093023255814,50,411,461,331,80,7,174,172,1407,0.22473867595818817,18.272727272727273,0.5879648976180527,1.9022988505747127,13000000
Khyri Thomas,22,SG,DET,26,0,195,22,69,0.3188405797101449,10,35,0.2857142857142857,12,34,0.35294117647058826,7,11,0.6363636363636364,4,16,20,8,7,5,4,22,61,0.15942028985507245,2.3461538461538463,0.3128205128205128,2,838464
Klay Thompson,28,SG,GSW,78,78,2652,655,1402,0.46718972895863053,241,599,0.4023372287145242,414,803,0.5155666251556662,129,158,0.8164556962025317,37,262,299,186,84,47,115,157,1680,0.11269614835948645,21.53846153846154,0.6334841628959276,1.617391304347826,18988725
Kris Dunn,24,PG,CHI,46,44,1389,215,506,0.424901185770751,34,96,0.3541666666666667,181,410,0.44146341463414634,55,69,0.7971014492753623,19,168,187,277,68,21,104,166,519,0.13636363636363635,11.282608695652174,0.37365010799136067,2.6634615384615383,4221000
Kyle Anderson,25,SF,MEM,43,40,1281,150,276,0.5434782608695652,9,34,0.2647058823529412,141,242,0.5826446280991735,37,64,0.578125,48,203,251,128,54,37,58,112,346,0.2318840579710145,8.046511627906977,0.27010148321623734,2.206896551724138,8641000
